Marque,Modele,Annee,Prix,Kilometrage,Boite_de_vitesse,Region_de_vente
2006,Taurus,2006,3800000.0,200000,Manuelle,Dakar
2009,308,2009,2300000.0,311368,Manuelle,Dakar
2012,Camaro,2012,4000000.0,220000,Manuelle,Dakar
2010,Escape,2010,6000000.0,180000,Automatique,Dakar
2007,307,2007,2400000.0,160000,Manuelle,Dakar
2007,307,2007,2200000.0,160000,Manuelle,Dakar
2010,Logan,2010,2000000.0,161000,Manuelle,Dakar
2002,406,2002,2200000.0,140000,Manuelle,Dakar
1989,19,1989,2300000.0,180000,Manuelle,Dakar
2007,307,2007,2100000.0,140000,Manuelle,Dakar
2007,307,2007,2300000.0,160000,Manuelle,Dakar
2009,308,2009,3600000.0,140000,Manuelle,Dakar
2000,Golf,2000,1500000.0,160000,Manuelle,Dakar
2009,308,2009,3300000.0,256730,Manuelle,Dakar
2008,307,2008,3200000.0,140000,Manuelle,Dakar
2008,Tucson,2008,3400000.0,140000,Manuelle,Dakar
2005,C5,2005,2100000.0,334000,Manuelle,Dakar
2008,C3,2008,2300000.0,128000,Manuelle,Dakar
2009,Aygo,2009,2700000.0,150000,Manuelle,Dakar
2009,Tucson,2009,4000000.0,140000,Manuelle,Dakar
2005,Scenic,2005,2200000.0,140000,Manuelle,Dakar
2006,Megane,2006,1700000.0,180000,Manuelle,Dakar
2003,Golf,2003,2500000.0,160000,Manuelle,Dakar
2005,Land Cruiser Prado,2005,3800000.0,130000,Manuelle,Dakar
2005,Auris,2005,3500000.0,179315,Manuelle,Dakar
2008,L200,2008,7200000.0,160000,Manuelle,Dakar
2009,Matiz,2009,3000000.0,120000,Manuelle,Dakar
2008,307,2008,2800000.0,160000,Manuelle,Dakar
2004,406,2004,2000000.0,18000,Manuelle,Dakar
2008,Berlingo,2008,3300000.0,214000,Manuelle,Dakar
2005,Megane,2005,2000000.0,160000,Manuelle,Dakar
2008,307,2008,2500000.0,128000,Manuelle,Dakar
2011,Elysion,2011,3500000.0,160000,Automatique,Dakar
2011,Edge,2011,9800000.0,80000,Automatique,Dakar
2007,Civic,2007,2300000.0,180000,Automatique,Dakar
2002,600,2002,1800000.0,128000,Manuelle,Dakar
2012,L200,2012,11900000.0,116000,Manuelle,Dakar
2008,307,2008,2600000.0,250000,Manuelle,Dakar
2009,Scenic,2009,1300000.0,160000,Manuelle,Dakar
2007,307,2007,2300000.0,210000,Manuelle,Dakar
2007,307,2007,2200000.0,160000,Manuelle,Dakar
2011,Camry,2011,3800000.0,0,Automatique,Dakar
2006,Passat,2006,2500000.0,164686,Manuelle,Dakar
2000,Prado,2000,4000000.0,140000,Manuelle,Dakar
2007,Escort,2007,2700000.0,174000,Manuelle,Dakar
2011,Escape,2011,4000000.0,109400,Automatique,Dakar
2008,Tucson,2008,2600000.0,110000,Manuelle,Dakar
2007,Fabia,2007,1800000.0,220000,Manuelle,Dakar
2007,Passat,2007,2900000.0,265000,Manuelle,Dakar
2008,Megane,2008,1600000.0,160000,Manuelle,Dakar
2008,Edge,2008,7000000.0,125000,Automatique,Dakar
2008,308,2008,2500000.0,140000,Manuelle,Dakar
2006,C4,2006,2200000.0,160000,Manuelle,Dakar
