web_scraper_order,web_scraper_start_url,Marque,Modele,prix,Kilometrage,Boite_de_vitesse,Region_de_vente,Annee,pagination
"1786243695-1","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 307","2008 Peugeot 307","CFA 1 900 000","160 000 km","Wanter Peugeot 307 Diesel manuel/ annee: 2008. Prix last: 1.900.000f Contact Appel & Whatsapp: 782718278 ou 764823888","Dakar","2008 Peugeot 307",""
"1786243695-2","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Peugeot 207","2012 Peugeot 207","CFA 3 800 000","142 000 km","Peugeot 207 année 2012 transmission automatique energy essence sallon cuir beige déjà dédouaner venant 142milles km. Prix: 3.800.000f Contact: 782718278 ou 764823888","Dakar","2012 Peugeot 207",""
"1786243695-3","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 400 000","160 000 km","Wanter peugeot 307 Break en Excellent etat/ Diesel Manuel/ Annee: 2007. Prix last: 2.400.000f Contact:782718278 ou 764823888","Dakar","2007 Peugeot 307",""
"1786243695-4","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Renault Scenic","2009 Renault Scenic","CFA 1 300 000","160 000 km","Wanter Renault Scenic 7 places, mentionées 5 places sur la carte a grise avec probleme de moteur / Climatisé/ Diesel Manuel/Annee: 2009. Prix last: 1.300.000f Contact appel Ou Whatsapp: 782718278 ou 764823888.","Dakar","2009 Renault Scenic",""
"1786243695-5","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 SsangYong Kyron","2007 SsangYong Kyron","CFA 2 000 000","120 000 km","🚨🚨🚨Wanterrrrr Ssangyong KYRON 4 x4 Diesel Automatique Année 2007. Arrivée au Sénégal en 2017 4 cylindres Faible consomation. Voiture propre et en bon état.Trés bien entretenue. Last prix : 2.000.000 Fr🙊 Contact: 782718278 ou 764823888","Dakar","2007 SsangYong Kyron",""
"1786243695-6","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Volkswagen Passat","2006 Volkswagen Passat","CFA 2 500 000","164 686 km","Volks Passat /Manuel essence/ Annee 2006 / 164686km / Prix: 2.500.000f","Dakar","2006 Volkswagen Passat",""
"1786243695-7","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Mitsubishi Spacestar","2008 Mitsubishi Spacestar","CFA 2 000 000","160 000 km","Mitsubishi carburant essence boite manuelle climatisé papier complet année 2008 Prix: 2 millions Fcfa Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2008 Mitsubishi Spacestar",""
"1786243695-8","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2014 Nissan Qashqai","2014 Nissan Qashqai","CFA 7 800 000","63 000 km","A bazarder Nissan Qashqai 2014 Full Options - 63 000km - diesel Automatique - salon : cuir et tissu - Grand écran - aucun défaut - Climatisé Contact Appel ou Whatsapp: 764823888 ou 782718278","Dakar","2014 Nissan Qashqai",""
"1786243695-9","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Skoda Fabia","2007 Skoda Fabia","CFA 1 800 000","220 000 km","Skoda diésel manuel kilométrage moins de 226mil km/h / Plaque Gambie. Prix: 1.800.000 f Contact: 782718278 ou 764823888","Dakar","2007 Skoda Fabia",""
"1786243695-10","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Mitsubishi L200","2009 Mitsubishi L200","CFA 7 800 000","160 000 km","A Bazarder Mitsubishi L200 Double Cabine en Tres bon etat/ Diesel manuel 2009 a 7.800.000f. Contact: 782718278 ou 764823888","Dakar","2009 Mitsubishi L200",""
